##gff-version  3
# Sequence Data: seqnum=1;seqlen=72170;seqhdr="scaffold_88"
# Model Data: version=Prodigal.v2.6.3;run_type=Metagenomic;model="33|Pelotomaculum_thermopropionicum_SI|B|53.0|11|1";gc_cont=53.00;transl_table=11;uses_sd=1
scaffold_88	Prodigal_v2.6.3	CDS	1	672
scaffold_88	Prodigal_v2.6.3	CDS	747	1745
scaffold_88	Prodigal_v2.6.3	CDS	1742	1921
scaffold_88	Prodigal_v2.6.3	CDS	2176	2511
scaffold_88	Prodigal_v2.6.3	CDS	2794	3732
scaffold_88	Prodigal_v2.6.3	CDS	3729	4181
scaffold_88	Prodigal_v2.6.3	CDS	4272	4679
scaffold_88	Prodigal_v2.6.3	CDS	4729	5556
scaffold_88	Prodigal_v2.6.3	CDS	5705	6535
scaffold_88	Prodigal_v2.6.3	CDS	6651	6911
scaffold_88	Prodigal_v2.6.3	CDS	7286	8293
scaffold_88	Prodigal_v2.6.3	CDS	8494	9156
scaffold_88	Prodigal_v2.6.3	CDS	9263	10444
scaffold_88	Prodigal_v2.6.3	CDS	11194	11445
scaffold_88	Prodigal_v2.6.3	CDS	11617	11910
scaffold_88	Prodigal_v2.6.3	CDS	11930	12283
scaffold_88	Prodigal_v2.6.3	CDS	12843	13298
scaffold_88	Prodigal_v2.6.3	CDS	13304	13738
scaffold_88	Prodigal_v2.6.3	CDS	13741	14313
scaffold_88	Prodigal_v2.6.3	CDS	14370	14786
scaffold_88	Prodigal_v2.6.3	CDS	14800	15222
scaffold_88	Prodigal_v2.6.3	CDS	15206	16516
scaffold_88	Prodigal_v2.6.3	CDS	16849	18549
scaffold_88	Prodigal_v2.6.3	CDS	18542	19273
scaffold_88	Prodigal_v2.6.3	CDS	19294	19917
scaffold_88	Prodigal_v2.6.3	CDS	19958	20302
scaffold_88	Prodigal_v2.6.3	CDS	20320	21246
scaffold_88	Prodigal_v2.6.3	CDS	21246	21707
scaffold_88	Prodigal_v2.6.3	CDS	21704	25741
scaffold_88	Prodigal_v2.6.3	CDS	25741	26196
scaffold_88	Prodigal_v2.6.3	CDS	26193	26801
scaffold_88	Prodigal_v2.6.3	CDS	26804	27373
scaffold_88	Prodigal_v2.6.3	CDS	27374	30172
scaffold_88	Prodigal_v2.6.3	CDS	30662	31162
scaffold_88	Prodigal_v2.6.3	CDS	31159	31665
scaffold_88	Prodigal_v2.6.3	CDS	31662	32024
scaffold_88	Prodigal_v2.6.3	CDS	32361	32723
scaffold_88	Prodigal_v2.6.3	CDS	32720	33016
scaffold_88	Prodigal_v2.6.3	CDS	33080	33532
scaffold_88	Prodigal_v2.6.3	CDS	33574	34866
scaffold_88	Prodigal_v2.6.3	CDS	34881	35540
scaffold_88	Prodigal_v2.6.3	CDS	35506	36783
scaffold_88	Prodigal_v2.6.3	CDS	36787	38571
scaffold_88	Prodigal_v2.6.3	CDS	38537	38875
scaffold_88	Prodigal_v2.6.3	CDS	38998	39666
scaffold_88	Prodigal_v2.6.3	CDS	39668	40036
